ID da Compra;Data da Compra;Nome do Material;Quantidade (kg);Preço por kg (R$);Preço Total (R$)
1;2021-04-01;PP CRISTAL;7.69;3.0;23.07
2;2021-04-01;vidro;12.02;0.9;10.82
3;2021-04-01;PP COLORIDO;31.18;1.5;46.77
4;2021-04-01;ferro;22.32;1.1;24.55
5;2021-04-01;ferro;16.28;1.1;17.91
6;2021-04-01;cobre;20.48;41.6;851.97
7;2021-04-01;PP CRISTAL;13.63;3.0;40.89
8;2021-04-01;bloco;15.59;8.4;130.96
9;2021-04-01;papelão;18.47;0.8;14.78
10;2021-04-01;latinha;47.71;7.9;376.91
11;2021-04-01;óleo;13.56;2.1;28.48
12;2021-04-01;aço;30.92;5.6;173.15
13;2021-04-01;papelão;14.37;0.8;11.5
14;2021-04-01;latinha;6.86;7.9;54.19
15;2021-04-01;aluminio;8.07;6.5;52.46
16;2021-04-01;cobre;25.93;41.6;1078.69
17;2021-05-01;PP CRISTAL;10.69;3.0;32.07
18;2021-05-01;PET PEAD;11.9;2.6;30.94
19;2021-05-01;PP PRETO;13.48;1.3;17.52
20;2021-05-01;ferro;36.91;1.1;40.6
21;2021-05-01;chumbo;36.64;7.9;289.46
22;2021-05-01;arquivo;7.97;0.7;5.58
23;2021-05-01;PP PRETO;4.2;1.3;5.46
24;2021-05-01;placa eletronica;7.31;37.5;274.12
25;2021-05-01;PET PEAD;3.99;2.6;10.37
26;2021-05-01;ferro;1.45;1.1;1.6
27;2021-05-01;alto impacto;34.82;0.9;31.34
28;2021-06-01;papelão;47.8;0.8;38.24
29;2021-06-01;vidro;36.83;0.9;33.15
30;2021-06-01;aço;45.09;5.6;252.5
31;2021-06-01;alto impacto;26.82;0.9;24.14
32;2021-06-01;ferro;46.55;1.1;51.2
33;2021-06-01;papelão;13.33;0.8;10.66
34;2021-06-01;cobre;46.17;41.6;1920.67
35;2021-06-01;ferro;34.37;1.1;37.81
36;2021-06-01;alto impacto;7.7;0.9;6.93
37;2021-06-01;aluminio;0.35;6.5;2.28
38;2021-06-01;bateria;6.26;5.2;32.55
39;2021-06-01;bateria;27.23;5.2;141.6
40;2021-06-01;óleo;45.79;2.1;96.16
41;2021-06-01;PP CRISTAL;27.65;3.0;82.95
42;2021-06-01;arquivo;10.51;0.7;7.36
43;2021-06-01;PP CRISTAL;25.06;3.0;75.18
44;2021-06-01;PP PRETO;36.88;1.3;47.94
45;2021-06-01;cobre;29.72;41.6;1236.35
46;2021-06-01;aluminio;15.08;6.5;98.02
47;2021-06-01;arquivo;6.72;0.7;4.7
48;2021-06-01;PET PEAD;42.39;2.6;110.21
49;2021-06-01;aço;32.35;5.6;181.16
50;2021-06-01;PP COLORIDO;21.05;1.5;31.58
51;2021-06-01;bateria;19.22;5.2;99.94
52;2021-06-01;papelão;8.85;0.8;7.08
53;2021-06-01;vidro;30.14;0.9;27.13
54;2021-06-01;placa eletronica;29.78;37.5;1116.75
55;2021-06-01;chumbo;11.79;7.9;93.14
56;2021-06-01;aluminio;40.23;6.5;261.5
57;2021-06-01;óleo;49.39;2.1;103.72
58;2021-07-01;óleo;7.02;2.1;14.74
59;2021-07-01;PP COLORIDO;17.53;1.5;26.3
60;2021-07-01;bateria;19.57;5.2;101.76
61;2021-07-01;papelão;30.03;0.8;24.02
