ID da Compra;Data da Compra;Nome do Material;Quantidade (kg);Preço por kg (R$)
1;04/01/2021;PP CRISTAL;7.69;3
2;04/01/2021;vidro;12.02;0.9
3;04/01/2021;PP COLORIDO;31.18;1.5
4;04/01/2021;ferro;22.32;1.1
5;04/01/2021;ferro;16.28;1.1
6;04/01/2021;cobre;20.48;41.6
7;04/01/2021;PP CRISTAL;13.63;3
8;04/01/2021;bloco;15.59;8.4
9;04/01/2021;papelão;18.47;0.8
10;04/01/2021;latinha;47.71;7.9
11;04/01/2021;óleo;13.56;2.1
12;04/01/2021;aço;30.92;5.6
13;04/01/2021;papelão;14.37;0.8
14;04/01/2021;latinha;6.86;7.9
15;04/01/2021;aluminio;8.07;6.5
16;04/01/2021;cobre;25.93;41.6
17;05/01/2021;PP CRISTAL;10.69;3
18;05/01/2021;PET PEAD;11.9;2.6
19;05/01/2021;PP PRETO;13.48;1.3
20;05/01/2021;ferro;36.91;1.1
21;05/01/2021;chumbo;36.64;7.9
22;05/01/2021;arquivo;7.97;0.7
23;05/01/2021;PP PRETO;4.2;1.3
24;05/01/2021;placa eletronica;7.31;37.5
25;05/01/2021;PET PEAD;3.99;2.6
26;05/01/2021;ferro;1.45;1.1
27;05/01/2021;alto impacto;34.82;0.9
28;06/01/2021;papelão;47.8;0.8
29;06/01/2021;vidro;36.83;0.9
30;06/01/2021;aço;45.09;5.6
31;06/01/2021;alto impacto;26.82;0.9
32;06/01/2021;ferro;46.55;1.1
33;06/01/2021;papelão;13.33;0.8
34;06/01/2021;cobre;46.17;41.6
35;06/01/2021;ferro;34.37;1.1
36;06/01/2021;alto impacto;7.7;0.9
37;06/01/2021;aluminio;0.35;6.5
38;06/01/2021;bateria;6.26;5.2
39;06/01/2021;bateria;27.23;5.2
40;06/01/2021;óleo;45.79;2.1
41;06/01/2021;PP CRISTAL;27.65;3
42;06/01/2021;arquivo;10.51;0.7
43;06/01/2021;PP CRISTAL;25.06;3
44;06/01/2021;PP PRETO;36.88;1.3
45;06/01/2021;cobre;29.72;41.6
46;06/01/2021;aluminio;15.08;6.5
47;06/01/2021;arquivo;6.72;0.7
48;06/01/2021;PET PEAD;42.39;2.6
49;06/01/2021;aço;32.35;5.6
50;06/01/2021;PP COLORIDO;21.05;1.5
51;06/01/2021;bateria;19.22;5.2
52;06/01/2021;papelão;8.85;0.8
53;06/01/2021;vidro;30.14;0.9
54;06/01/2021;placa eletronica;29.78;37.5
55;06/01/2021;chumbo;11.79;7.9
56;06/01/2021;aluminio;40.23;6.5
57;06/01/2021;óleo;49.39;2.1
58;07/01/2021;óleo;7.02;2.1
59;07/01/2021;PP COLORIDO;17.53;1.5
60;07/01/2021;bateria;19.57;5.2
61;07/01/2021;papelão;30.03;0.8
62;08/01/2021;PP BRANCO;48.76;2.3
63;11/01/2021;óleo;6.04;2.1
64;11/01/2021;PP COLORIDO;39.31;1.5
65;11/01/2021;arquivo;49.18;0.7
66;11/01/2021;latinha;1.86;7.9
67;11/01/2021;ferro;14.36;1.1
68;11/01/2021;bloco;49.59;8.4
69;11/01/2021;latinha;21.35;7.9
70;11/01/2021;papelão;22.23;0.8
71;11/01/2021;papelão;31.31;0.8
72;11/01/2021;chumbo;48.2;7.9
73;11/01/2021;ferro;9.86;1.1
74;11/01/2021;PP COLORIDO;29.69;1.5
75;12/01/2021;PET PEAD;18.3;2.6
76;12/01/2021;vidro;16.54;0.9
77;12/01/2021;ferro;33.92;1.1
78;12/01/2021;bateria;5.99;5.2
79;12/01/2021;cobre;9.06;41.6
80;12/01/2021;latinha;7.68;7.9
81;12/01/2021;óleo;10.37;2.1
82;12/01/2021;bloco;42.12;8.4
83;12/01/2021;óleo;5.43;2.1
84;12/01/2021;PP BRANCO;47.65;2.3
85;12/01/2021;latinha;19;7.9
86;12/01/2021;chumbo;6.42;7.9
87;13/01/2021;PP CRISTAL;1.11;3
88;13/01/2021;vidro;30.68;0.9
89;13/01/2021;chumbo;34.73;7.9
90;13/01/2021;papelão;2.06;0.8
91;13/01/2021;ferro;22.25;1.1
92;13/01/2021;PP BRANCO;11.75;2.3
93;13/01/2021;PP BRANCO;39.54;2.3
94;13/01/2021;bloco;1.13;8.4
95;13/01/2021;placa eletronica;46.83;37.5
96;13/01/2021;PP PRETO;2.6;1.3
97;13/01/2021;óleo;18.27;2.1
98;13/01/2021;bloco;44.82;8.4
99;13/01/2021;óleo;49.9;2.1
100;13/01/2021;chumbo;24.92;7.9
101;13/01/2021;arquivo;40.5;0.7
102;13/01/2021;papelão;43.16;0.8
103;13/01/2021;aço;11.74;5.6
104;13/01/2021;PET PEAD;35.29;2.6
105;13/01/2021;bloco;22.85;8.4
106;13/01/2021;latinha;34.39;7.9
107;13/01/2021;bateria;43.57;5.2
108;13/01/2021;bateria;37.09;5.2
109;13/01/2021;vidro;23.45;0.9
110;13/01/2021;ferro;11.98;1.1
111;13/01/2021;ferro;43.4;1.1
112;13/01/2021;bateria;45.11;5.2
113;13/01/2021;PP BRANCO;33.86;2.3
114;13/01/2021;alto impacto;30.76;0.9
115;14/01/2021;arquivo;15.22;0.7
116;14/01/2021;PET PEAD;27.06;2.6
117;14/01/2021;PP BRANCO;49.53;2.3
118;14/01/2021;PP CRISTAL;22.09;3
119;14/01/2021;arquivo;11.38;0.7
120;14/01/2021;PP BRANCO;28.92;2.3
121;14/01/2021;alto impacto;45.3;0.9
122;14/01/2021;placa eletronica;47.59;37.5
123;14/01/2021;latinha;46.19;7.9
124;14/01/2021;bloco;20.66;8.4
125;14/01/2021;alto impacto;27.54;0.9
126;14/01/2021;chumbo;14.6;7.9
127;14/01/2021;latinha;48.11;7.9
128;14/01/2021;ferro;1.6;1.1
129;14/01/2021;PP PRETO;32.75;1.3
130;14/01/2021;chumbo;28.79;7.9
131;14/01/2021;papelão;20.43;0.8
132;14/01/2021;cobre;13.01;41.6
133;14/01/2021;papelão;45.84;0.8
134;14/01/2021;vidro;7.07;0.9
135;15/01/2021;latinha;1.28;7.9
136;15/01/2021;PP CRISTAL;9.14;3
