Data da Compra;Quantidade (kg);Nome do Material;Preço Total (R$);Margem de Lucro (%);Valor de Revenda (R$)
2021-01-01;25.14;PET PEAD;85.48;0.34;114.96
2021-01-01;49.74;PP COLORIDO;103.96;0.36;141.6
2021-01-01;27.48;placa eletronica;1475.95;0.37;2023.33
2021-01-01;33.63;aço;237.09;0.32;312.27
2021-01-01;34.87;aço;262.92;0.38;362.77
2021-01-01;15.33;alto impacto;21.46;0.34;28.82
2021-01-01;25.91;placa eletronica;1426.86;0.35;1922.23
2021-01-01;24.97;vidro;32.96;0.4;46.29
2021-01-01;5.61;bloco;59.35;0.41;83.46
2021-01-01;14.45;óleo;37.71;0.3;49.1
2021-01-01;49.86;PP PRETO;84.76;0.35;114.77
2021-01-01;15.09;PP PRETO;26.56;0.43;37.88
2021-01-01;23.58;PP BRANCO;73.1;0.39;101.79
2021-01-01;46.72;placa eletronica;2497.65;0.41;3526.25
2021-01-01;22.11;PVC vidro;2457.97;0.35;3308.63
2021-01-01;10.34;chumbo;107.74;0.39;149.43
2021-01-01;46.31;cobre;2705.43;0.39;3766.41
2021-01-01;30.48;ferro;48.16;0.35;64.83
2021-01-01;14.7;vidro;19.4;0.45;28.09
2021-01-01;2.44;ferro;3.83;0.45;5.54
2021-01-01;33.71;PP PRETO;59.67;0.43;85.09
2021-01-01;46.42;chumbo;463.27;0.39;642.64
2021-01-01;25.79;óleo;69.12;0.41;97.54
2021-01-01;42.66;PP PRETO;72.52;0.35;97.81
2021-01-01;17.54;chumbo;183.64;0.41;258.94
2021-01-02;19.8;aluminio;183.35;0.39;255.03
2021-01-02;4.42;PP PRETO;7.73;0.45;11.17
2021-01-02;30.86;arquivo;32.71;0.43;46.69
2021-01-02;45.46;latinha;510.52;0.4;712.42
2021-01-02;43.87;cobre;2561.57;0.38;3531.34
2021-01-02;17.75;PP PRETO;31.06;0.44;44.75
2021-01-02;27.98;latinha;310.86;0.41;438.47
2021-01-02;44.95;bloco;472.42;0.38;653.81
2021-01-02;35.77;PP COLORIDO;74.4;0.44;107.46
2021-01-02;35.96;aço;266.46;0.34;356.24
2021-01-02;17.55;PP COLORIDO;36.5;0.34;49.02
2021-01-02;39.47;papelão;43.81;0.32;58.0
2021-01-02;43.71;papelão;47.64;0.36;64.92
2021-01-02;26.69;arquivo;28.02;0.42;39.86
2021-01-02;18.38;bateria;126.45;0.4;177.22
2021-01-02;43.6;ferro;70.63;0.34;94.72
2021-01-02;33.42;placa eletronica;1774.6;0.42;2519.46
2021-01-03;37.55;aço;270.74;0.33;360.01
2021-01-03;45.76;ferro;73.22;0.31;96.01
2021-01-03;43.48;bloco;471.32;0.37;643.78
2021-01-03;0.88;ferro;1.43;0.37;1.96
2021-01-03;22.05;aço;162.07;0.43;230.98
2021-01-03;6.61;alto impacto;9.06;0.38;12.48
2021-01-03;19.5;bateria;133.77;0.32;177.0
2021-01-03;10.06;PP BRANCO;31.19;0.41;44.06
2021-01-03;48.51;bateria;331.32;0.43;474.97
